BenefitID,Outcome,ValueMeasurementUnit,BaselineTargetValue,CurrentTargetValue,ActualValue,Source,Owner,StartDate,OriginalEstimatedCompletionDate,CurrentEstimatedCompletionDate,MonitoringPlan,RAGStatus,ProjectSource,BenefitRecordedDate,Narrative,BenefitStage,Location
1,Heritage - Conservation Area Enhanced,Hectare (ha),4936,3600,1743,Source_3,Cody Gardner,08/11/2022,23/10/2023,03/12/2023,Fortnightly,G,Project_Echo,30/06/2023,,In-Progress,"34.8271667495022, -24.702710011869687"
2,Local Community - Disadvantaged Population Better Protected,Pounds [Thousands] per person (£k / person),260,360,496,Source_1,Abigail Reyes,24/07/2023,03/09/2023,25/07/2023,Weekly,R,Project_Echo,21/06/2023,,Not Started,"34.104886441540756, -24.058869826494963"
3,Non-Residential Area (Commerce) - Leisure Centres Created,Number,6,6,2,Source_2,Brandon Wood,29/12/2022,01/06/2023,07/03/2023,Quarterly,G,Project_Golf,13/08/2023,,Completion,"36.783671260946406, -22.066581672314474"
4,Biodiversity - Forests Better Protected,Hectare (ha),245,540,675,Source_3,Andrew Valentine,17/03/2023,16/05/2023,25/03/2023,Weekly,G,Project_Bravo,20/06/2023,,Completion,"31.503556795208436, -27.92261822732204"
5,Non-Residential Area (Utility) - Oil and Gas Storage and Distribution Buildings Created,Number,8,8,4,Source_2,Tracey King,07/02/2023,04/12/2023,11/11/2023,Fortnightly,G,Project_Bravo,20/06/2023,,In-Progress,"31.76902788807994, -27.622716836418064"
6,Local Community - Minorty Population and Inclusivity Enhanced,Pounds [Thousands] per person (£k / person),228,360,253,Source_2,Kenneth Shields,13/08/2023,14/11/2023,29/08/2023,Fortnightly,R,Project_Alpha,25/06/2023,,Not Started,"30.265661131401703, -28.1350019265642"
7,Local Community - Sustainability Enhanced,Pounds [Thousands] per person (£k / person),147,360,54,Source_2,Tonya Rodriguez,24/12/2022,30/10/2023,08/10/2023,Monthly,G,Project_Golf,24/06/2023,,In-Progress,"36.76566204697279, -22.70405834619424"
8,Local Landscape Better Protected,Hectare (ha),1632,1440,1880,Source_1,Tonya Rodriguez,20/01/2023,25/01/2023,31/01/2023,Quarterly,G,Project_Golf,30/08/2023,,Completion,"36.92302756387291, -22.95027400763296"
9,Financial Damages (Environmental) Reduced,Pounds [Thousands] (£k),204,144,134,Source_1,Rodney Moore PhD,21/07/2023,11/11/2023,21/10/2023,Monthly,R,Project_Alpha,22/06/2023,,Not Started,"30.827405033319298, -28.18305271252593"
10,Agricultural Lands Enhanced,Hectare (ha),344,252,182,Source_2,Madison Bennett,10/02/2023,11/03/2023,13/03/2023,Quarterly,G,Project_Charlie,10/09/2023,,Completion,"32.76395791517173, -26.7123579902298"
11,Local Community - Education Enhanced,Pounds [Thousands] per person (£k / person),546,360,497,Source_2,Mariah Sweeney,15/01/2023,02/02/2023,03/02/2023,Weekly,G,Project_Hotel,22/06/2023,,Completion,"37.20567700947601, -21.29074856779302"
12,Local Community - Education Better Protected,Pounds [Thousands] per person (£k / person),546,360,499,Source_1,Rodney Moore PhD,30/11/2022,02/02/2023,03/02/2023,Daily,G,Project_Alpha,19/06/2023,,Completion,"30.581108505771027, -28.170251110050724"
13,Non-Residential Area (Commerce) - Sports Centres Created,Number,5,3,3,Source_1,Andrew Valentine,10/01/2023,16/10/2023,13/09/2023,Weekly,G,Project_Bravo,24/06/2023,,Completion,"31.726138635480197, -27.414740977257903"
14,Local Community - Minorty Population and Inclusivity Enhanced,Pounds [Thousands] per person (£k / person),228,360,182,Source_2,Lori Perez,31/07/2023,14/11/2023,29/08/2023,Weekly,R,Project_Charlie,25/06/2023,,Not Started,"32.9223092537685, -26.05195088426874"
15,Flood Risk (Rivers) Better Protected,Hectare (ha),512,360,487,Source_2,Brianna Little,08/05/2023,19/07/2023,08/07/2023,Fortnightly,G,Project_Delta,30/06/2023,,In-Progress,"33.185054891787615, -25.034491241714562"
16,Transport - Cycle Paths Enhanced,Kilometre (km),279,288,370,Source_4,Marcus Calderon,14/03/2023,28/08/2023,26/07/2023,Weekly,G,Project_Echo,25/06/2023,,Completion,"34.1578780455028, -24.264740104358804"
17,Non-Residential Area (Public Services) - Post Offices Created,Number,9,8,2,Source_2,Melissa Reyes,02/01/2023,13/08/2023,22/09/2023,Fortnightly,G,Project_Hotel,19/06/2023,,Completion,"37.76536544883742, -21.457448018353148"
18,Financial Damages (Lost Opportunity) Reduced,Pounds [Thousands] (£k),217,144,99,Source_4,Jessica Nelson MD,09/12/2022,30/12/2023,21/11/2023,Weekly,G,Project_Echo,22/06/2023,,In-Progress,"34.264625401368704, -24.987294284133746"
19,Local Economy Enhanced,Pounds [Thousands] (£k),149,360,181,Source_3,Samuel Curry,21/12/2022,10/06/2023,01/06/2023,Monthly,G,Project_Foxtrot,25/06/2023,,Completion,"35.34787031855875, -23.947490490698446"
